STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
3078.0,"PRAGATHINAGAR CHERUVU, KUKATPALLY,  RANGA REDDY",ANDHRA PRADESH,28.5,3.85,7.75,1276.25,32.75,Unsafe,,,"['DO', 'BOD']"
3084.0,"WADDEPALLY TANK, KAZIPET,  WARANGAL",ANDHRA PRADESH,27.3,6.75,7.81,512.4,18.7,Unsafe,,,['BOD']
3085.0,"CHINNA WADDEPALLY TANK,  WARANGAL",ANDHRA PRADESH,28.82,2.95,7.79,1658.36,20.26,Unsafe,,,"['EC', 'DO', 'BOD']"
3086.0,"SAKI TANK, PATANCHERU,  RANGA REDDY",ANDHRA PRADESH,28.18,5.99,8.14,1562.64,4.03,Unsafe,,,"['EC', 'DO', 'BOD']"
1255.0,"PENNAR B/C WITH CHITRAVATHI, TADPATRI, UNGANOORP.",ANDHRA PRADESH,26.0,6.27,8.0,533.33,2.53,Unsafe,,,['BOD']
1256.0,"PENNAR AFTER CONF. WITH PAPAGNI,PUSPAGINI",ANDHRA PRADESH,28.95,6.41,8.02,378.0,2.27,Unsafe,,,['BOD']
1257.0,"PENNAR AFTER CONF. WITH CHEYYURU,SOMASILE",ANDHRA PRADESH,28.55,5.98,7.97,947.91,0.54,Unsafe,,,['DO']
30.0,"PENNAR AT SIDDVATA, NELLORE",ANDHRA PRADESH,28.8,6.41,8.01,375.0,2.41,Unsafe,,,['BOD']
1174.0,"TUNGHABHADRA AT KURNOOL U/S, BAVAPURAM",ANDHRA PRADESH,26.36,6.14,7.88,394.55,2.33,Unsafe,,,['BOD']
1785.0,"TUNGHABHADRA AT MANTHRALAYAM , KURNOOL",ANDHRA PRADESH,25.91,6.25,8.02,484.36,2.37,Unsafe,,,['BOD']
1172.0,MUSI U/S AT HYDERABAD,ANDHRA PRADESH,27.0,5.3,7.96,417.82,11.26,Unsafe,,,"['DO', 'BOD']"
1173.0,MUSI D/S AT HYDERABAD,ANDHRA PRADESH,27.64,0.85,7.47,1306.45,52.63,Unsafe,,,"['DO', 'BOD']"
2339.0,"MUSI AT NAGOLE,RANGAREDDY",ANDHRA PRADESH,27.55,0.73,7.38,1554.09,106.0,Unsafe,,,"['EC', 'DO', 'BOD']"
3082.0,"RIVER MUSI RESERVOIR AT KASANIGUDA,  NALGONDA",ANDHRA PRADESH,28.55,5.11,7.72,1603.18,4.93,Unsafe,,,"['EC', 'DO', 'BOD']"
1178.0,"PALLERU BEFORE CONFL. WITH KRISHNA, JAGGAYYAPET",ANDHRA PRADESH,23.36,5.66,7.58,780.18,0.72,Unsafe,,,['DO']
1177.0,"MUNERU BEFORE CONFL. WITH KRISHNA, NANDIGAMA",ANDHRA PRADESH,24.0,6.78,7.58,697.25,0.6,Safe,,,['NONE']
2349.0,"NAKKAVAGU, BACHUGUDEM",ANDHRA PRADESH,28.95,4.87,7.5,1468.91,12.54,Unsafe,,,"['DO', 'BOD']"
2350.0,"RIVER HUNDRI, JOHARPUR(V), NEAR TEMPLE, KURNOOL",ANDHRA PRADESH,26.0,6.2,8.27,643.33,2.33,Unsafe,,,['BOD']
2351.0,"RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL",ANDHRA PRADESH,25.91,5.5,7.77,502.73,2.57,Unsafe,,,"['DO', 'BOD']"
