STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI .,MAHARASHTRA,27.82,8.52,518.15
2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BDG,MAHARASHTRA,27.82,8.58,960.21
2161,"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",MAHARASHTRA,28.58,8.12,1027.08
12,GODAVARI AT DHALEGAON,MAHARASHTRA,25.7,7.96,597.15
1210,GODAVARI AT NANDED,MAHARASHTRA,29.58,8.13,565.28
1209,GODAVARI AT RAHER,MAHARASHTRA,29.42,8.13,581.13
2157,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA,26.67,8.22,547.31
2360,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH,28.68,7.73,516.55
2361,"GODAVARI  AT MANCHERIAL, NR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH,28.5,8.31,527.88
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",ANDHRA PRADESH,28.25,8.31,552
2363,"GODAVARI AT GODAVARIKHANI, NR BATHING GHAT, KARIMNAGAR",ANDHRA PRADESH,28.38,8.16,657.5
2364,"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",ANDHRA PRADESH,28.38,8.35,526.13
2356,"GODAVARI D/S OF RAMANUGUNDAM,",ANDHRA PRADESH,28.14,8.14,582.71
2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH,27,8.06,377.55
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,27.82,8.02,393.27
13,GODAVARI AT MANCHERIAL,ANDHRA PRADESH,28.63,8.18,547.38
2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,19.73,7.71,301.05
2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,19.82,7.57,342.64
2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH,19.91,7.18,561.91
2370,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,ANDHRA PRADESH,25.64,7.43,291.27
14,GODAVARI AT POLAVARAM,ANDHRA PRADESH,26.82,7.81,254
1218,GODAVARI AT RAJAHMUNDRY U/S,ANDHRA PRADESH,26.68,7.69,244.55
2371,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,ANDHRA PRADESH,25.45,7.35,313.27
1219,GODAVARI AT RAJAHMUNDRY D/S,ANDHRA PRADESH,25.27,7.45,284
1854,"INDRAVATI A/C DANTEWADA RIVER, NELSONNAR, DANTEWADA.",CHHATTISGARH,23.25,7.6,
1856,SHANKNI A/C DANKANI RIVER DANTEWADA.,CHHATTISGARH,23.75,7.55,
2673,"MANJRA RIVER AT D/S OF LATUR, NEAR LATUR- NANDED BRIDGE AT BHATKHEDA, LATUR.",MAHARASHTRA,26.5,8.38,515.07
2374,MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,ANDHRA PRADESH,28.46,7.89,426.42
2375,MANJEERA AT GOWDICHARLA A/C WITH NAKKAVAGU,ANDHRA PRADESH,28.2,7.87,524.5
1781,"MANJEERA - NEAR GANAPATHI SUGARS , MEDAK DIST",ANDHRA PRADESH,27.36,8.24,397.64
1157,MANJERA AT RAIPALLU,ANDHRA PRADESH,28.27,8.23,350.55
1891,MANJRA AT D/S IN INTAKE POINT TO BIDAR CITY,KARNATAKA,28.73,7.98,
1215,MANER AT WARANGAL U/S,ANDHRA PRADESH,28.38,7.91,567.5
1158,MANER AT SOMNAPALLI,ANDHRA PRADESH,28.29,8.12,467.57
2719,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,18.42,8.15,1055
2720,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,19.42,8.17,921.17
2721,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",MAHARASHTRA,19.08,8.28,769.71
2174,WARDHA RIVER D/S OF ACC GHUGGUS.,MAHARASHTRA,20.08,8.24,859.15
2156,WARDHA AT CONFL. POINT OF PENGANGA & WARDHA AT JUAD.,MAHARASHTRA,19.08,8.15,753.83
1212,WARDHA AT RAJURA BRIDGE,MAHARASHTRA,18.5,8.16,1106.25
