STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean
1312.0,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD",MAHARASHTRA,27.67,6.71,8.48,590.2,4.0
2177.0,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,24.27,5.83,7.58,285.23,5.13
2182.0,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,24.25,9.73,7.38,317.61,4.92
2179.0,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,24.09,5.08,7.32,438.7,6.89
2183.0,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,24.5,5.66,7.46,312.25,5.5
2181.0,"GODAVARI RIVER AT KAPILA- GODAVARI CONFL. PT, TAPOVAN.",MAHARASHTRA,24.64,4.13,7.36,523.22,12.0
2180.0,GODAVARI NEAR TAPOVAN.,MAHARASHTRA,24.36,4.7,7.49,425.9,8.88
1096.0,GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA,24.27,5.14,7.43,407.3,6.13
1211.0,GODAVARI AT NASIK D/S,MAHARASHTRA,24.36,5.31,7.4,406.58,6.46
1095.0,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK",MAHARASHTRA,26.09,6.24,7.57,191.5,3.13
2160.0,"GODAVARI U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA,27.17,6.63,8.18,762.48,3.75
2158.0,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI .,MAHARASHTRA,27.82,6.8,8.52,518.15,3.6
2159.0,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BDG,MAHARASHTRA,27.82,6.12,8.58,960.21,4.48
2161.0,"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",MAHARASHTRA,28.58,6.62,8.12,1027.08,4.12
12.0,GODAVARI AT DHALEGAON,MAHARASHTRA,25.7,6.7,7.96,597.15,4.87
1210.0,GODAVARI AT NANDED,MAHARASHTRA,29.58,6.36,8.13,565.28,4.26
1209.0,GODAVARI AT RAHER,MAHARASHTRA,29.42,6.21,8.13,581.13,4.38
2157.0,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA,26.67,6.99,8.22,547.31,3.38
2360.0,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH,28.68,6.26,7.73,516.55,1.82
2361.0,"GODAVARI  AT MANCHERIAL, NR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH,28.5,6.74,8.31,527.88,6.96
2362.0,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",ANDHRA PRADESH,28.25,7.04,8.31,552.0,7.1
2363.0,"GODAVARI AT GODAVARIKHANI, NR BATHING GHAT, KARIMNAGAR",ANDHRA PRADESH,28.38,6.74,8.16,657.5,7.44
2364.0,"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",ANDHRA PRADESH,28.38,6.94,8.35,526.13,9.74
2356.0,"GODAVARI D/S OF RAMANUGUNDAM,",ANDHRA PRADESH,28.14,4.57,8.14,582.71,6.36
2365.0,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH,27.0,5.57,8.06,377.55,5.27
2366.0,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,27.82,5.42,8.02,393.27,6.58
13.0,GODAVARI AT MANCHERIAL,ANDHRA PRADESH,28.63,6.35,8.18,547.38,8.8
2367.0,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,19.73,6.61,7.71,301.05,0.57
2368.0,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,19.82,6.64,7.57,342.64,0.63
