STATION CODE,LOCATIONS,ZIP,date_of_deployment,kit_status,,,,,,,,
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",,,WORKING,,,,,,,,
13,GODAVARI AT MANCHERIAL,504302,,WORKING,,,,,,,,
2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",,,WORKING,,,,,,,,
2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",,,WORKING,,,,,,,,
2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",507114,,WORKING,,,,,,,,
2370,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,,,WORKING,,,,,,,,
14,GODAVARI AT POLAVARAM,534315,,WORKING,,,,,,,,
1218,GODAVARI AT RAJAHMUNDRY U/S,533101,,WORKING,,,,,,,,
2371,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,533101,,WORKING,,,,,,,,
1219,GODAVARI AT RAJAHMUNDRY D/S,533101,,WORKING,,,,,,,,
2673,"MANJRA RIVER AT D/S OF LATUR, NEAR LATUR- NANDED BRIDGE AT BHATKHEDA, LATUR.",,,WORKING,,,,,,,,
2374,MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,,,WORKING,,,,,,,,
2375,MANJEERA AT GOWDICHARLA A/C WITH NAKKAVAGU,,,WORKING,,,,,,,,
1781,"MANJEERA - NEAR GANAPATHI SUGARS , MEDAK DIST",500034,,WORKING,,,,,,,,
1157,MANJERA AT RAIPALLU,,,WORKING,,,,,,,,
1215,MANER AT WARANGAL U/S,506001,,WORKING,,,,,,,,
1158,MANER AT SOMNAPALLI,,,WORKING,,,,,,,,
2719,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",,,WORKING,,,,,,,,
2720,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",,,WORKING,,,,,,,,
2721,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",,,WORKING,,,,,,,,
2174,WARDHA RIVER D/S OF ACC GHUGGUS.,,,WORKING,,,,,,,,
2156,WARDHA AT CONFL. POINT OF PENGANGA & WARDHA AT JUAD.,,,WORKING,,,,,,,,
1212,WARDHA AT RAJURA BRIDGE,,,WORKING,,,,,,,,
1214,WAINGANGA AT CHINDWARA,,,WORKING,,,,,,,,
1910,WAINGANGA A/C WITH KANHAN,,,WORKING,,,,,,,,
2173,WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,,,WORKING,,,,,,,,
2172,WAINGANGA RIVER D/S OF ELLORA PAPER MILL.,,,WORKING,,,,,,,,
